construct,method,run,score,gaps_even,gaps_odd,long_gaps,single_even,single_odd,saturday_pairs,max_group_day,unplaced,seconds,rounds
teacher,hillclimb,1,964600,6,6,0,35,27,0,5,0,0,0
dsatur,hillclimb,1,462120,0,1,0,27,10,0,3,0,0,0
